#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-168256	Immune System	39	2105	0.24	0.32	0.0197	9606.ENSP00000218388,9606.ENSP00000219022,9606.ENSP00000221972,9606.ENSP00000225964,9606.ENSP00000255409,9606.ENSP00000256447,9606.ENSP00000257264,9606.ENSP00000260731,9606.ENSP00000263326,9606.ENSP00000265148,9606.ENSP00000289429,9606.ENSP00000296370,9606.ENSP00000304408,9606.ENSP00000308815,9606.ENSP00000320147,9606.ENSP00000321874,9606.ENSP00000322788,9606.ENSP00000356024,9606.ENSP00000356198,9606.ENSP00000357112,9606.ENSP00000361405,9606.ENSP00000361540,9606.ENSP00000361850,9606.ENSP00000362108,9606.ENSP00000363524,9606.ENSP00000365473,9606.ENSP00000368727,9606.ENSP00000369129,9606.ENSP00000369293,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000381008,9606.ENSP00000416561,9606.ENSP00000428205,9606.ENSP00000432568,9606.ENSP00000436812,9606.ENSP00000438483,9606.ENSP00000485028,9606.ENSP00000488437	TIMP1,OLFM4,CD79A,COL1A1,CHI3L1,CD180,TCN1,KIF11,IL37,CENPE,CD1A,S100P,COL3A1,CCL19,EZH2,B3GNT3,MMP1,CR2,CHIT1,AIM2,MMP9,CDC20,PLAU,LCN2,KIF4A,MUC21,XDH,DSP,IL2RA,KIF20A,CDK1,MUC16,CFB,FBXO32,SPTBN2,MUC5B,KPNA2,MUC13,PRSS2
HSA-983189	Kinesins	5	60	0.89	0.41	0.0246	9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000363524,9606.ENSP00000378356,9606.ENSP00000385545	KIF11,CENPE,KIF4A,KIF20A,KIF26B
HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	4	34	1.04	0.41	0.0264	9606.ENSP00000228843,9606.ENSP00000259008,9606.ENSP00000352271,9606.ENSP00000355506	RAD51AP1,BRIP1,XRCC2,EXO1
HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	5	62	0.88	0.4	0.0274	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000481380	CCNB1,BUB1B,CDC20,CDK1,CCNA2
HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	6	99	0.75	0.37	0.0326	9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000363524,9606.ENSP00000378356,9606.ENSP00000385545,9606.ENSP00000386918	KIF11,CENPE,KIF4A,KIF20A,KIF26B,KDELR3
HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	3	16	1.25	0.39	0.0366	9606.ENSP00000217026,9606.ENSP00000378699,9606.ENSP00000481380	MYBL2,CDK1,CCNA2
HSA-194315	Signaling by Rho GTPases	17	671	0.38	0.31	0.0379	9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000340989,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000369129,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000485028	SGO1,CENPE,ANLN,NUF2,BUB1B,PLK1,BUB1,SFN,IQGAP3,CENPF,KIF14,CDC20,CENPI,DSP,ECT2,PRC1,MUC13
HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	4	39	0.98	0.37	0.0381	9606.ENSP00000259008,9606.ENSP00000352271,9606.ENSP00000355506,9606.ENSP00000391090	BRIP1,XRCC2,EXO1,CHEK1
HSA-3906995	Diseases associated with O-glycosylation of proteins	5	69	0.83	0.36	0.0388	9606.ENSP00000355751,9606.ENSP00000365473,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	THBS2,MUC21,MUC16,MUC5B,MUC13
HSA-9924644	Developmental Lineages of the Mammary Gland	4	40	0.97	0.36	0.0404	9606.ENSP00000263735,9606.ENSP00000265171,9606.ENSP00000481841,9606.ENSP00000501092	EPCAM,EGF,CD24,TFAP2A
HSA-8875878	MET promotes cell motility	4	41	0.96	0.36	0.0422	9606.ENSP00000225964,9606.ENSP00000254051,9606.ENSP00000304408,9606.ENSP00000359114	COL1A1,TNS4,COL3A1,COL11A1
HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	3	18	1.19	0.37	0.0434	9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000378699	CCNB1,CCNB2,CDK1
HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	3	18	1.19	0.37	0.0434	9606.ENSP00000256442,9606.ENSP00000340989,9606.ENSP00000378699	CCNB1,SFN,CDK1
HSA-5693532	DNA Double-Strand Break Repair	7	151	0.64	0.33	0.0459	9606.ENSP00000228843,9606.ENSP00000259008,9606.ENSP00000352271,9606.ENSP00000355506,9606.ENSP00000391090,9606.ENSP00000438483,9606.ENSP00000481380	RAD51AP1,BRIP1,XRCC2,EXO1,CHEK1,KPNA2,CCNA2
HSA-162582	Signal Transduction	43	2551	0.2	0.26	0.0499	9606.ENSP00000218388,9606.ENSP00000225964,9606.ENSP00000247191,9606.ENSP00000254051,9606.ENSP00000260227,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000265171,9606.ENSP00000265748,9606.ENSP00000271452,9606.ENSP00000286758,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000304408,9606.ENSP00000308815,9606.ENSP00000320147,9606.ENSP00000321835,9606.ENSP00000340989,9606.ENSP00000354451,9606.ENSP00000355751,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000357668,9606.ENSP00000359114,9606.ENSP00000361405,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000368516,9606.ENSP00000369129,9606.ENSP00000369293,9606.ENSP00000376352,9606.ENSP00000376457,9606.ENSP00000377601,9606.ENSP00000377793,9606.ENSP00000378517,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000428876,9606.ENSP00000432568,9606.ENSP00000438483,9606.ENSP00000482841,9606.ENSP00000485028	TIMP1,COL1A1,DLGAP5,TNS4,MMP7,SGO1,CENPE,EGF,ANLN,NUF2,CXCL13,BUB1B,PLK1,BUB1,COL3A1,CCL19,EZH2,ETV4,SFN,IQGAP3,THBS2,CENPF,KIF14,ADAM12,COL11A1,MMP9,CDC20,CENPI,LGR4,DSP,IL2RA,PDK1,ECT2,HELLS,PRC1,SPP1,CDK1,CHEK1,FAM83A,SPTBN2,KPNA2,CRABP2,MUC13
HSA-8948216	Collagen chain trimerization	4	44	0.93	0.34	0.0499	9606.ENSP00000225964,9606.ENSP00000304408,9606.ENSP00000327368,9606.ENSP00000359114	COL1A1,COL3A1,COL10A1,COL11A1
